show_id,type,title,director,cast,country,release_year,rating,listed_in,description,year_added,month_added,duration_value,duration_type
s1,0,Dick Johnson Is Dead,Kirsten Johnson,Unknown,United States,0.6599304775080349,7,Documentaries,as her father nears the end of his life filmmaker kirsten johnson stages his death in inventive and comical ways to help them both face the inevitable,1.3466640745006808,0.6851262026706698,90,Minutes
s2,1,Blood & Water,Unknown,"Ama Qamata, Khosi Ngema, Gail Mabalane, Thabang Molaba, Dillon Windvogel, Natasha Thahane, Arno Greeff, Xolile Tshabalala, Getmore Sithole, Cindy Mahlangu, Ryle De Morny, Greteli Fincham, Sello Maake Ka-Ncube, Odwa Gwanya, Mekaila Mathys, Sandi Schultz, Duane Williams, Shamilla Miller, Patrick Mofokeng",South Africa,0.7733244432755346,11,"International TV Shows, TV Dramas, TV Mysteries",after crossing paths at a party a cape town teen sets out to prove whether a privateschool swimming star is her sister who was abducted at birth,1.3466640745006808,0.6851262026706698,2,Seasons
s3,1,Ganglands,Julien Leclercq,"Sami Bouajila, Tracy Gotoas, Samuel Jouy, Nabiha Akkari, Sofia Lesaffre, Salim Kechiouche, Noureddine Farihi, Geert Van Rampelberg, Bakary Diombera",Unknown,0.7733244432755346,11,"Crime TV Shows, International TV Shows, TV Action & Adventure",to protect his family from a powerful drug lord skilled thief mehdi and his expert team of robbers are pulled into a violent and deadly turf war,1.3466640745006808,0.6851262026706698,1,Seasons
s4,1,Jailbirds New Orleans,Unknown,Unknown,Unknown,0.7733244432755346,11,"Docuseries, Reality TV",feuds flirtations and toilet talk go down among the incarcerated women at the orleans justice center in new orleans on this gritty reality series,1.3466640745006808,0.6851262026706698,1,Seasons
s5,1,Kota Factory,Unknown,"Mayur More, Jitendra Kumar, Ranjan Raj, Alam Khan, Ahsaas Channa, Revathi Pillai, Urvi Singh, Arun Kumar",India,0.7733244432755346,11,"International TV Shows, Romantic TV Shows, TV Comedies",in a city of coaching centers known to train indias finest collegiate minds an earnest but unexceptional student and his friends navigate campus life,1.3466640745006808,0.6851262026706698,2,Seasons
s6,1,Midnight Mass,Mike Flanagan,"Kate Siegel, Zach Gilford, Hamish Linklater, Henry Thomas, Kristin Lehman, Samantha Sloyan, Igby Rigney, Rahul Kohli, Annarah Cymone, Annabeth Gish, Alex Essoe, Rahul Abburi, Matt Biedel, Michael Trucco, Crystal Balint, Louis Oliver",Unknown,0.7733244432755346,11,"TV Dramas, TV Horror, TV Mysteries",the arrival of a charismatic young priest brings glorious miracles ominous mysteries and renewed religious fervor to a dying town desperate to believe,1.3466640745006808,0.6851262026706698,1,Seasons
s7,0,My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha","Vanessa Hudgens, Kimiko Glenn, James Marsden, Sofia Carson, Liza Koshy, Ken Jeong, Elizabeth Perkins, Jane Krakowski, Michael McKean, Phil LaMarr",Unknown,0.7733244432755346,6,Children & Family Movies,equestrias divided but a brighteyed hero believes earth ponies pegasi and unicorns should be pals  and hoof to heart shes determined to prove it,1.3466640745006808,0.6851262026706698,91,Minutes
s8,0,Sankofa,Haile Gerima,"Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah, Nick Medley, Mutabaruka, Afemo Omilami, Reggie Carter, Mzuri","United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",-2.401706598214457,11,"Dramas, Independent Movies, International Movies",on a photo shoot in ghana an american model slips back in time becomes enslaved on a plantation and bears witness to the agony of her ancestral past,1.3466640745006808,0.6851262026706698,125,Minutes
s9,1,The Great British Baking Show,Andy Devonshire,"Mel Giedroyc, Sue Perkins, Mary Berry, Paul Hollywood",United Kingdom,0.7733244432755346,9,"British TV Shows, Reality TV",a talented batch of amateur bakers face off in a week competition whipping up their best dishes in the hopes of being named the uks best,1.3466640745006808,0.6851262026706698,9,Seasons
s10,0,The Starling,Theodore Melfi,"Melissa McCarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant, Daveed Diggs, Skyler Gisondo, Laura Harrier, Rosalind Chao, Kimberly Quinn, Loretta Devine, Ravi Kapoor",United States,0.7733244432755346,7,"Comedies, Dramas",a woman adjusting to life after a loss contends with a feisty bird thats taken over her garden  and a husband whos struggling to find a way forward,1.3466640745006808,0.6851262026706698,104,Minutes
